Comune;Provincia;Nome titolare struttura vendita;Indirizzo;Centro commerciale (SI/NO);Settoremercato non alimentare;Superficie alimentare in mq;Superficie non alimentare in mq;Superficie totale in mq;Latitudine;Longitudine;Identificatore PDV
ARCISATE;VARESE;CAVALCA SPA;Via Machiavelli, 5;NO;ABBIGLIAMENTO E SCARPE;0;2587;2587;45.86097704441812;8.877762981134241;6081
BESOZZO;VARESE;TIGROS SPA;Via L. Da Vinci, 1;NO;;1487;457;1944;45.841438505574054;8.669523407391;2325
BUGUGGIATE;VARESE;TIGROS SPA;Via Verdi 24;SI;;1080;1469;2549;45.79203023308668;8.796171319339024;10896
BUSTO ARSIZIO;VARESE;CENTRO COMMERCIALE TICINO;Via Delle Allodole;SI;;2320;930;3250;45.604265004196535;8.818271591915602;796
BUSTO ARSIZIO;VARESE;CITY GARMENTS;Via Fagnano Olona;NO;ABBIGLIAMENTO E SCARPE;0;8000;8000;45.63004836828403;8.856815845332774;797
BUSTO ARSIZIO;VARESE;LE TORRI/ STORE HOUSE LOMBARDO SRL;Ss 33 Sempione;NO;MOBILI E ACCESSORI CASE ARREDO;0;3300;3300;45.61882094185707;8.869944949011664;807
CARDANO AL CAMPO;VARESE;F.LLI RIGOLIO SNC;Via Garibaldi,4;NO;MOBILI E ACCESSORI CASE ARREDO;0;3320;3320;45.64345271971257;8.771001622365922;6138
CASTELLANZA;VARESE;ESSELUNGA SPA;Viale Borri Angolo Viale Piemonte;SI;;2974;1453;4427;45.60295131496798;8.879007709055694;11785
CASTELLANZA;VARESE;GRANDI MAGAZZINI E SUPERMERCATI IL GIGANTE S.P.A.;Via Diaz 7;NO;;4695;2012;6707;45.60663301755313;8.899489030471598;3666
COCQUIO-TREVISAGO;VARESE;CENTRO COMMERCIALE COCQUIO;C.Da Tagliabo', 4;SI;;1870;6333;8203;45.85991234930963;8.688613331763202;4171
DAVERIO;VARESE;CC IL GIGANTE;Sp Varese-Vergiate;SI;;1476;5694;7170;45.76612040564881;8.768417765880347;396
GALLARATE;VARESE;CONDOMINIO CENTRO COMMERCIALE LAGHI;Via Varese, 22;SI;;1060;2759;3819;45.677222234371804;8.800789207895674;962
GALLARATE;VARESE;CONSORZIO AGRARIO PROVINCIALE;Via Ambrosoli 14;NO;SPORT, TEMPO LIBERO, BRICO, LIBRI, AUTO E RESTANTI;0;3720;3720;45.649846788909166;8.807235180093288;10813
GALLARATE;VARESE;EXTRAMARKET SPA;Via Lario, 37;SI;;3090;2431;5521;45.652130291905756;8.784659884599986;10818
